gene_ids,ens_gene,Pan_hrt_1,Pan_hrt_2,Pan_kid_1,Pan_kid_2,Pan_liv
100608581,NSPTRG00000047549,0.192788,0,1.59824,0.275519,0.781077
104001109,NSPTRG00000047553,56.5038,44.4393,171.694,130.944,107.006
743724,NSPTRG00000047574,0.310509,0.434151,0.299107,0.311085,0.0318227
465627,NSPTRG00000047576,0.623083,0.623693,8.47327,7.597140011,10.72842
107975897,NSPTRG00000047581,0.566435,0.296995,0,2.64827,0.696618
107974150,NSPTRG00000047587,0.152879,0,8.7097,13.9378,0
471027,NSPTRG00000047600,11.46122,10.9784,71.25645,61.694474,35.808963
740011,NSPTRG00000047603,15.7065,10.0816,27.9865,23.4004,22.9459
100611103,NSPTRG00000047613,0.237029,0.228631,0.697552,1.19782,0.885379
100613994,NSPTRG00000047617,0.0544143,0,0.0336961,0,0
451208,NSPTRG00000047622,0.404534,0.490496,0.878351,0.996326,0.823996
749922,NSPTRG00000047624,3.76831,5.73631,25.6035,27.0371,13.6515
742381,NSPTRG00000047625,108.7401,296.3344,17.80601,22.97479,132.79439
472610,NSPTRG00000047632,5.21537,1.10048,2.04805,1.554564,0
743136,NSPTRG00000047633,0.28019,0,0.69573,1.40728,1.04426
473397,NSPTRG00000047644,0.178245,0,0,0,0
470019,NSPTRG00000047645,3.20834,3.13874,13.4712,13.3276,7.72299
461788,NSPTRG00000047664,11.889026,10.80587,11.82547,20.95207,4.653291
739202,NSPTRG00000047667,0,0,0,0,0
100613034,NSPTRG00000047668,1.61355,1.14523,8.72468,6.86048,3.19439
100499465,NSPTRG00000047669,0,0,0,0,0
744594,NSPTRG00000047679,5.46463,0.758443,34.9914,12.2377,3.36792
746835,NSPTRG00000047681,21.77381,15.95103,40.87565,49.139,13.482192
465940,NSPTRG00000047682,57.29570005,50.12311513,101.484262,122.165686,17.64748
742618,NSPTRG00000047688,0,0,0,0,0
740445,NSPTRG00000047693,0,0,0.106928,0,0
453047,NSPTRG00000047703,2.74178,86.39098,31.59039,303.5496,15.22649
100611721,NSPTRG00000047704,0,0,0,0,0
741161,NSPTRG00000047719,0,0,0,0,0
