,X,ens_gene,Mus_sg_1,Mus_sg_2,Mus_sg_3,Mus_sg_4,Mus_hrt_1,Mus_hrt_2,Mus_hrt_3,Mus_kidn_1,Mus_kidn_2,Mus_kidn_3,Mus_livr_1,Mus_livr_2,Mus_livr_3,Mus_livr_4,gene_id
812,821,ENSMUSG00000005267,0.351381526,0.39058932,0.14498,0.0863589,1.047261942,1.134807535,0.883451818,1.375762435,1.041711902,0.999135149,0.2282368,0.527052425,0.386937812,0.2893243,170740
813,822,ENSMUSG00000005268,1.48568,2.6584965,1.6533187,1.8516469,0.5595315,0.71167753,0.688608,54.7236383,56.6171644,56.853746,140.696,89.065789,82.362655,91.775294,19116
814,823,ENSMUSG00000005299,6.607176,7.534644,5.9090173,6.7419559,29.684069,35.927137,33.632027,65.711961,62.411469,63.474793,61.959699,50.537619,54.391705,50.781494,56384
815,824,ENSMUSG00000005312,12.426582,15.327899,15.745277,15.152618,23.74299,27.923785,27.017327,70.98892,72.87675,70.84127,122.11347,105.44312,104.80163,104.05528,56085
816,825,ENSMUSG00000005320,0.0329147,0,0.0701061,0.0640076,0.3396481,0.108595,0.133279,28.27612,26.77241,28.04056,49.94167,53.22656,57.62779,55.806,14186
817,826,ENSMUSG00000005338,0.743576,0.360354,1.3383028,0.514182,3.246942,1.901873,2.4523601,1.414866,2.2901895,1.4568147,7.1583684,6.8005216,5.893073,7.727482504,94332
818,827,ENSMUSG00000005339,0,0,0,0,0.12413,0.0448857,0.283256,0,0,0,0,0,0,0,14125
819,828,ENSMUSG00000005354,20.046539,24.201854,23.670548,28.595768,145.218856,221.909658,215.19513,270.167493,255.939698,272.305917,354.326621,360.458712,376.29172,372.887173,56551
820,829,ENSMUSG00000005355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12365
821,830,ENSMUSG00000005357,0,0,0,0.0542082,0.0180243,0.0308805,0.0812106,0.504887,0.361461,0.1712556,0.1028064,0.0583388,0.0659453,0.0527497,20513
822,831,ENSMUSG00000005360,1.7913265,3.403585,2.9924229,3.2979372,2.1385241,1.644161,1.8982346,2.3336158,3.846152,4.2385565,0.0937267,0.213218,0.242414,0.3785163,20512
823,832,ENSMUSG00000005362,3.3893747,4.42874997,5.099912,3.72887317,7.7486602,7.5774023,7.13097,10.4051523,13.765613,11.687634,9.7256751,8.71328,7.0699517,7.71375,58799
824,833,ENSMUSG00000005364,0.0492805,0,0.0900705,0.0673752,0.222374,0.147912,0.162075,0.886126,0.954858,0.720877,0.0282892,0.1626652,0.0455205,0.0983224,16192
825,834,ENSMUSG00000005370,1.01875,1.630265,1.38245,1.16313,1.30119,0.921521,0.903326,2.380583,2.596785,3.563076,1.433909,1.25003,1.45432381,1.05543,17688
826,835,ENSMUSG00000005371,3.965121,4.628851,4.398407,4.725885,14.049812,9.814658,7.962173,12.977792,16.97261,14.97679298,7.14815,6.169416,6.38939,6.99851,225055
827,836,ENSMUSG00000005373,1.295903,1.681249,1.354733,1.1982776,19.67092079,30.040301,30.258814,107.36567,100.879465,107.395056,379.811631,542.73624,549.877,567.63884,58805
828,837,ENSMUSG00000005374,2.0366559,2.896196,2.920289,2.79372,3.4144096,4.030495,3.748905,8.6174,7.314629,7.367097,10.060505,11.719438,11.670176,9.78975,27368
829,838,ENSMUSG00000005378,4.027975,4.751689,5.115983,5.958133226,20.079332,29.81007,26.1597567,63.925939,48.48812377,52.87709441,52.792392,61.004846,65.168236,62.002459,66138
830,839,ENSMUSG00000005397,2.32009,5.29229,2.84163,2.96962,41.0828452,40.86648,37.5562,50.36053,43.8539,51.353865,6.789411,7.34981,9.5347,7.80597,18073
831,840,ENSMUSG00000005410,0.681352003,1.129850007,1.180060007,1.862681704,2.01147,2.127579,2.07767,4.554672,4.118665,4.292128,1.73242,1.877174,2.184886,1.781093,17218
832,841,ENSMUSG00000005413,1.91661,2.86901,2.04795,2.30198,3.83041,6.67769,6.179054,17.0708,16.771693,18.504726,10.454267,14.496303,16.49913,17.9279,15368
833,842,ENSMUSG00000005417,9.168533578,12.096718,13.75028,12.644391,33.089623,41.13697,38.322419,74.8623202,70.63947171,73.83144002,29.09978819,43.087428,42.61737204,43.610953,26936
834,843,ENSMUSG00000005442,4.631079,6.221194,6.257907,6.209848006,16.2233,23.082875,29.142028,28.150788,22.82958,23.92293787,11.916681,18.51258423,19.1440586,20.3721836,71722
835,844,ENSMUSG00000005447,6.394309,6.050013,6.14758,5.3857804,2.360838,5.0063267,5.113044,35.676835,31.636454,35.403485,9.665124,5.775275,8.069548,6.7943746,18476
836,845,ENSMUSG00000005465,0.581936,0.763419,0.930271,1.615188,1.569274,2.8592465,2.6751248,4.755139,4.440869,3.889876,1.1559388,1.609185,2.1806,1.735113,50931
