"","ens_gene","Homo_sg_1","Homo_sg_2","Homo_hrt_1","Homo_hrt_2","Homo_hrt_3","Homo_kidn_1","Homo_kidn_2","Homo_kidn_3","Homo_livr_1","Homo_livr_2","Homo_livr_3","gene_ids"
"12125","ENSG00000169131",2.93458,2.95063,2.064638,2.114405,2.56276,5.4988,1.22863,10.18886,2.391932,0.757546,0.989285,6940
"12126","ENSG00000169136",2.859103,3.23432,12.61807,15.91845,14.46285,50.56858,27.48767,33.07658,1973.28,810.6758,288.4949,22809
"12127","ENSG00000169139",19.42701,12.51543,8.734455,4.547871,5.901654,20.92432,3.183966,34.49458,14.1708,20.46381,23.39616,7336
"12128","ENSG00000169154",0,0,0,0,0,0,0,0,0,0,0,137362
"12129","ENSG00000169155",3.50746,1.508152,3.334395,5.938261,5.718927,2.947305,1.86361,4.392396,2.15669,0.5573586,1.473325,23099
"12130","ENSG00000169164",0,0,0,0,0,0,0,0,0,0,0,139629
"12131","ENSG00000169169",0.3338125,0.2412085,3.955439,4.269795,3.967778,0.943232,1.976697,1.086249,2.186203,0.2480847,0.9472252,126129
"12132","ENSG00000169174",0,0,0,0.0532494,0.0354226,0.2537484,0.0860305,0.0513155,33.40423,10.46258,5.267672,255738
"12133","ENSG00000169180",14.42606,10.64194,21.89749,33.30743,27.33097,34.63413,36.80205,29.75337,36.91987,10.29336,13.47259,23214
"12134","ENSG00000169181",0.03333154,0.024616,1.75723,1.207704,1.154473,1.05417,0.3251982,0.1137954,0.57086,0,0.139212,146395
"12135","ENSG00000169184",0.572089,0.3614149,1.937505,6.50122,5.045528,0.758938,0.513227,0.638596,0.0549102,0.1166195,0.2392329,4330
"12136","ENSG00000169188",1.55988,1.37859,2.95165,6.01046,6.93035,24.51084,10.1089,24.71322,3.97076,1.80521,1.89766,27301
"12137","ENSG00000169189",15.02685,19.94531,27.52485,47.9622,45.46832,125.5533,122.6505,113.0529,46.55954,32.98481,49.17364,197370
"12138","ENSG00000169193",6.718957,3.60579,2.01446,1.126575,3.403636,5.68156,1.492001,7.544516,4.142813,2.229614,5.3804,90693
"12139","ENSG00000169194",0.1072543,0.0073845,0,0.325321,0.552148,0,0,0,0.186533,0,0.1308639,3596
"12140","ENSG00000169208",43.62942,16.81302,0.6192799,1.08492,0.933052,1.088879,1.157486,1.28714,0.763086,0.154616,0.8608528,26533
"12141","ENSG00000169213",0.121243,0.0526619,0.0557836,0.0872068,0.0951026,1.00533,0.614938,1.29465,0.145463,0.0591158,0.0350689,5865
"12142","ENSG00000169214",0,0,0,0,0.142131,0,0,0,0,0,0,343169
"12143","ENSG00000169217",4.073044,13.75713,26.45384,21.44841,24.91407,50.9052,47.8437,44.3007,15.84914,13.25149,9.35386,10421
"12144","ENSG00000169218",0.01525,0.004658755,0.1625306,0.541018,0.948391,0.4085962,0.344047,0.1716866,0,0.0331105,0,284654
"12145","ENSG00000169220",2.485542,4.054655,2.922912,2.988619,1.684481,42.77123,28.71165,36.99612,23.24416,17.78072,17.12056,10636
"12146","ENSG00000169221",2.660529,3.915481,19.22363,23.21117,18.93617,24.57934,34.93612,17.9415,10.09124,1.4208,4.309438,26000
"12147","ENSG00000169223",38.15127,35.54534,59.4682,118.8229,116.3889,195.4154,174.5658,139.1146,184.2711,115.7354,91.17523,10960
"12148","ENSG00000169224",0.2105747,0.0737239,0.146803,0.0891222,0.0888017,0.0480869,0.166883,0.0597259,0.0682736,0,0.0288682,148823
"12149","ENSG00000169228",4.935483,12.44097,29.94035,28.90853,33.86497,70.74412,55.60212,36.81377,23.63618,13.93518,9.852952,53917
"12150","ENSG00000169230",21.23741,27.6302,45.76379,32.191,34.02071,137.9103,242.3628,171.0881,122.694,76.16827,68.97237,27166
"12151","ENSG00000169231",3.507848,4.130683,7.837521,16.39788,17.51989,20.86687,18.58475,17.17509,4.703919,3.481249,6.490053,7059
"12152","ENSG00000169239",4.001453,2.391891,1.290154,5.825833,4.815741,7.844117,4.804215,8.190547,3.320709,1.258629,1.074857,11238
"12153","ENSG00000169241",13.72439,10.01391,8.234152,10.01946,10.27297,29.13027,33.7277,44.91782,48.07002,26.87808,32.02231,55974
"12154","ENSG00000169242",12.16183,13.75357,26.33184,25.32757,27.0292,28.78439,87.52021,29.37379,63.59911,403.0926,87.59578,1942
"12155","ENSG00000169245",2.02912,4.16621,0.164535,0.184031,0.489683,1.5468,1.09018,2.48286,0.0703464,0.0792279,5.49142,3627
"12156","ENSG00000169247",0.3891635,0.1944305,1.69779,3.022979,2.659613,0.0641594,0.0783445,0.4504275,0.2364003,0.0111546,0.0560149,79628
"12157","ENSG00000169248",0.330989,0.683831,0.0600581,0.134348,0.0893713,0,0,0.485706,0.0513552,0,0.403582,6373
"12158","ENSG00000169249",3.61067,3.816748,11.32355,4.529861,3.85624,11.98615,5.60656,14.4974,3.09755,4.376949,3.179206,8233
"12159","ENSG00000169251",27.98955,23.69798,12.067,29.91219,25.75446,17.87667,8.776907,22.57598,21.54633,14.28674,21.51427,51068
