"","moduleColors","gene"
"2296","turquoise","107296286"
"2297","turquoise","107296295"
"2298","turquoise","107296296"
"2299","turquoise","107296307"
"2300","turquoise","107296312"
"2301","turquoise","107296346"
"2302","turquoise","107296353"
"2303","turquoise","107296359"
"2304","turquoise","107296371"
"2305","turquoise","107296384"
"2306","turquoise","107296388"
"2307","turquoise","107296390"
"2308","turquoise","107296401"
"2309","turquoise","107296423"
"2310","turquoise","107296429"
"2311","turquoise","107296431"
"2312","turquoise","107296432"
"2313","turquoise","107296436"
"2314","turquoise","107296437"
"2315","turquoise","107296440"
"2316","turquoise","107296447"
"2317","turquoise","107296451"
"2318","turquoise","107296453"
"2319","turquoise","107296455"
"2320","turquoise","107296459"
"2321","turquoise","107296465"
"2322","turquoise","107296483"
"2323","turquoise","107296493"
"2324","turquoise","107296511"
"2325","turquoise","107296514"
"2326","turquoise","107296539"
"2327","turquoise","107296551"
"2328","turquoise","107296561"
"2329","turquoise","107296562"
"2330","turquoise","107296585"
"2331","turquoise","107296590"
"2332","turquoise","107296594"
"2333","turquoise","107296603"
"2334","turquoise","107296606"
"2335","turquoise","107296607"
"2336","turquoise","107296630"
"2337","turquoise","107296631"
"2338","turquoise","107296632"
"2339","turquoise","107296633"
"2340","turquoise","107296639"
"2341","turquoise","107296640"
"2342","turquoise","107296642"
"2343","turquoise","107296658"
"2344","turquoise","107296662"
"2345","turquoise","107296663"
"2346","turquoise","107296680"
"2347","turquoise","107296683"
"2348","turquoise","107296690"
"2349","turquoise","107296692"
"2350","turquoise","107296698"
"2351","turquoise","107296706"
"2352","turquoise","107296707"
"2353","turquoise","107296708"
"2354","turquoise","107296710"
"2355","turquoise","107296717"
"2356","turquoise","107296755"
"2357","turquoise","107296756"
"2358","turquoise","107296757"
"2359","turquoise","107296762"
"2360","turquoise","107296774"
"2361","turquoise","107296777"
"2362","turquoise","107296798"
"2363","turquoise","107296799"
"2364","turquoise","107296800"
"2365","turquoise","107296803"
"2366","turquoise","107296804"
"2367","turquoise","107296810"
"2368","turquoise","107296811"
"2369","turquoise","107296813"
"2370","turquoise","107296843"
"2371","turquoise","107296856"
"2372","turquoise","107296858"
"2373","turquoise","107296859"
