ens_gene,Xeno_hrt_1,Xeno_hrt_2,Xeno_hrt_3,Xeno_kidn_1,Xeno_kidn_2,Xeno_kidn_3,Xeno_livr_1,Xeno_livr_2,Xeno_livr_3,gene_ids
ENSXETG00000000088,0.280576,1.04992,1.45807,1.39438,1.54315,1.36341,0.15381,0.972828,2.01245,100145370
ENSXETG00000000089,7.4334,19.8800085,21.15153,20.880957,14.8824298,13.675491,4.79844,10.35099921,8.881605,779972
ENSXETG00000000091,87.0998,74.6194,77.173,106.115,97.8634,88.876906,66.6098,63.3905,69.349029,594966
ENSXETG00000000092,18.8295,5.28007,5.02186,14.9982,23.5105,15.9856,11.2727,23.5234,36.8766,100170190
ENSXETG00000000093,206.9,0.0512253,0.44597,875.532,309.161,300.019,12.3911,18.3024,24.0848,101735201
ENSXETG00000000094,0.26601,3.41742,13.8586,0.875223,2.0804,2.33445,0.247709,0.982311,1.54345,100127622
ENSXETG00000000096,0,0,0,0,0,0,0,0,0,100485962
ENSXETG00000000098,6.955057,2.9462171,2.5724696,11.737863,5.891416078,6.35999,3.665709,4.459978,6.674699,100497750
ENSXETG00000000099,30.4762235,7.366801,12.83634351,11.28004,8.81899,14.1078722,11.981905,12.71976901,15.7113249,100216203
ENSXETG00000000100,8.20669,6.15458,6.439660306,12.743,11.32673,11.54501,3.094047,7.84078,9.5143,100487986
ENSXETG00000000101,125.463,34.3158,54.77270511,85.15458621,70.50210454,82.14660384,81.531589,99.1984641,84.81983674,493218
ENSXETG00000000102,59.0329,55.5946,63.2188,43.0693,39.7398,46.691,22.7919,19.9167,12.6883,394958
ENSXETG00000000103,2.91417,0.0399445,0.112037,0.136101,0.1580046,0.1186014,0,0.0692429,0.0212511,100497239
ENSXETG00000000104,14.9388,7.205012,8.742962759,33.619471,29.738621,18.24493,2.065115801,4.061992093,4.920419097,100486041
ENSXETG00000000105,11.8229,11.3796,11.3406,13.2902,15.0197,15.1672,4.40328,7.45814,8.50308,100491567
ENSXETG00000000106,0.0647908,0.176672325,0.0332448,0.141348,0.0543972,0.1655873,0,0.135979,0.0189174,100490137
ENSXETG00000000107,41.5949,0.203395,0,0,0,0,0,0,0,101731908
ENSXETG00000000109,0.221412,0.0292775,0.0765234,0.0309864,0.050085,0.0149471,0,0,0,100497218
ENSXETG00000000111,19.5264,29.9829,26.11480163,12.77190155,18.3565928,18.90105916,6.62333,9.706996,12.3514,100380109
ENSXETG00000000113,23.628,13.36753,17.52241,11.465732,17.36375,18.10349,1.932329,3.266881,2.589549,100497180
ENSXETG00000000114,13.3001,0.0613173,0.0693924,11.143307,17.93894773,16.0839442,0.051880712,0.070958,0.1913802,496802
ENSXETG00000000116,8.64582,0.0740731,0,0,0.0351442,0.0444139,0.0412483,0,0,549390
ENSXETG00000000118,14.9494,41.7848,51.436,38.4702,29.1764,33.2138,13.0711,9.35047,14.2327,100135408
ENSXETG00000000119,27.98091,9.458134,14.80006814,21.6437,23.69908,23.03297,9.92026,12.12235674,12.323189,493568
ENSXETG00000000120,55.2417,45.9927,72.3478,74.184,76.9683,72.633,60.2896,53.7394,51.6451,100124317
ENSXETG00000000121,201.665728,127.943,64.953527,113.6787,103.701516,117.234,28.8476,29.4334,70.0634,549725
ENSXETG00000000122,3.158666,6.491294,10.717239,1.47858,2.139005,3.110469,1.2063042,2.39705,4.0311381,448380
ENSXETG00000000123,56.4576,38.8636,41.4529,40.4754,49.238,43.0303,25.2539,26.1432,25.9488,394701
ENSXETG00000000124,6.552699,4.257898,15.4694104,14.462444,12.061718,16.939634,1.5481151,5.241764,12.052654,779469
ENSXETG00000000125,9.29596,3.35683,3.89087,7.32009,10.5912,9.73962,2.11497,2.61163,2.88393,100038145
ENSXETG00000000126,8.51437,2.79364,5.74127,12.53789,8.91917,10.85937,5.947419,12.936314,12.76355,549005
ENSXETG00000000128,8.72306,1.073181,1.820830314,6.346136342,3.889477143,6.230584911,4.04488,10.57693119,8.189879,548812
ENSXETG00000000129,0.0215732,0.117648,0.049807,0.0403364,0.304257,0.0778295,0.43594,0.995978,0.869153,100038065
ENSXETG00000000130,2.98306,0.999141,1.75511,2.64549,3.47775,3.93412,0.456479,0.200888,0.397665,100496722
ENSXETG00000000131,2.20671,0.890985,2.20491,1.40851,4.06812,3.9875,0.281326,0.544227,0.648968,493190
ENSXETG00000000132,43.78846,23.05926,12.71543,11.96343,14.61674,14.47746,11.86098,4.75901,7.92776,549310
ENSXETG00000000133,18.17471,1.092851,1.824063,31.812792,26.503544,27.210779,1.195514,1.763039,3.83963,100488690
ENSXETG00000000134,5.23717,1.122289,1.2885618,2.9420406,3.636846,3.710552,0.690658751,1.8806615,2.3817154,733958
ENSXETG00000000135,7.557907848,1.6067085,2.416787406,3.196241679,3.999363748,3.337308046,3.999849853,30.59739319,53.65610143,780327
ENSXETG00000000136,3.77525,0.816133,2.15486,2.55384,2.93254,2.64092,0.0592287,1.27193,0.478515,100494505
ENSXETG00000000138,25.1772,13.9669634,15.52261,28.938434,25.758234,32.50136,20.188561,10.482264,11.71967,496996
ENSXETG00000000139,7.09432,3.33515,3.32255,1.80256,2.87135,3.7616,3.4528,0.61573,1.72545,548732
ENSXETG00000000140,4.14543,3.38981,7.59986,9.28744,9.08452,9.49345,1.5776,3.53665,5.95602,100145002
ENSXETG00000000141,16.19473333,5.94687864,8.088102812,11.45136791,7.79669825,12.4218488,3.105959104,4.915433234,14.9426661,100036652
ENSXETG00000000142,0,1.10932,0,0.191101,0.240245,0.12291,0.0553979,0.142989,0,100495495
ENSXETG00000000143,1.726298,0.2243464,0.0934812,0.56392,0.622237,0.6326926,0.06017729,0.00811242,0.1297085,100489231
