ens_gene,Gal_hrt_1,Gal_hrt_2,Gal_hrt_3,Gal_kidn_1,Gal_kidn_2,Gal_kidn_3,Gal_livr_1,Gal_livr_2,Gal_livr_3,gene_ids
ENSGALG00000039008,21.94574,27.1833,18.06463,11.77722,10.06283,16.61348,8.95204,7.69239,10.62453,776594
ENSGALG00000039011,0.250771,1.48701,203.8061,654.8832,683.9526,666.4209,539.789,502.2088,689.5449,420266
ENSGALG00000039022,16.02892,4.011796,12.09883,0.938044,0.1823842,0.503878,1.505317,1.508197,1.116683,777528
ENSGALG00000039023,0.0368514,5.79375,0.005260371,0.0367312,9.884,0.0239884,0.00822301,4.40377,0,427025
ENSGALG00000039029,0,0,0,0,0,0,0,0,0,101747503
ENSGALG00000039032,1.76593,0.26688,0.247458,4.88906,0.56403,1.00412,0.648955,0.290758,0,100858635
ENSGALG00000039034,2.16186,3.3271,9.18793,5.61241,11.1532,7.97926,1.54223,3.77132,3.24283,420980
ENSGALG00000039037,19.6254,31.2197,43.8323,11.7669,41.6875,42.4514,4.23043,14.7781,14.0212,425991
ENSGALG00000039040,0,0,0.0855445,0.0365662,0,0,0,0,0,100859138
ENSGALG00000039048,7.10063,2.456555,1.678784,8.597015,3.048195,3.300243,7.73925,3.117743,2.627511,107052489
ENSGALG00000039061,40.0351,22.8326,24.1002,84.0297,29.4101,32.1091,49.9517,19.5252,21.6305,770750
ENSGALG00000039068,6.962231,6.773215,12.13344,13.39155,25.84185,17.10098,5.25806,4.825093,5.403575,426483
ENSGALG00000039072,39.3106,21.1668,16.8934,42.0683,15.2717,35.2148,28.7905,9.2806,9.4533,425431
ENSGALG00000039080,3.449508,7.71642,4.559257,2.438933,4.619374,11.90414,6.094,7.11392,11.1951,395666
ENSGALG00000039084,1.6042,4.49956,1.72716,1.04614,1.23271,5.77962,1.64461,1.808,1.2466,776037
ENSGALG00000039092,0.16225,0.464369,0.324587,3.4336,10.8626,13.3053,0.246337,1.19864,0.525921,428460
ENSGALG00000039099,5.94849,8.71828,13.18423,3.88157,10.52842,10.22494,5.442543,11.38925,12.74228,395983
ENSGALG00000039101,0,0,0.225189,0.219433,0.285152,0,0.398166,0,0,419147
ENSGALG00000039102,0.230253,0.718632,0.5291799,0.203664,0.50535,1.379135,0.392239,0.504985,0.696364,421138
ENSGALG00000039108,25.751,13.3219,11.1338,15.9332,6.3434,7.59599,13.2567,5.07361,5.01152,429847
ENSGALG00000039118,24.7462,50.0141,46.8494,9.42083,17.9235,20.0175,3.98133,7.72967,7.1823,395588
ENSGALG00000039120,16.43069,9.474539,7.915531,27.82249,24.67558,27.34595,17.95311,10.03543,8.788571,425984
ENSGALG00000039121,3.38344,4.51344,5.34009,1.22395,4.24339,3.79107,2.07842,2.54029,3.61685,416772
ENSGALG00000039124,12.70398,6.59061,7.27762,50.2931,84.24086,48.02348,13.30445,9.213606,8.19121,416303
ENSGALG00000039125,0,0,0,0,0,0,0,0,0,395564
ENSGALG00000039130,25.2643,17.5214,23.3888,44.9196,27.8569,28.6878,15.5665,6.9301,6.5838,421181
ENSGALG00000039134,17.9984,6.86256,5.61694,18.87263,5.006,6.14388,8.44612,2.20694,2.46002,769661
ENSGALG00000039139,7.57137,13.3525,15.4954,11.4982,29.9134,22.9036,3.81514,8.64698,9.95979,420792
ENSGALG00000039140,1.33247,0.585212,0.227902,1.19441,0.192391,0.495409,1.72435,0.13389,0.376957,100194427
ENSGALG00000039145,8.34697,8.77522,9.49854,8.6769,18.32856,13.27711,0.4641139,1.084552,0.5618106,421139
ENSGALG00000039146,0.477223,0.580074,0.236658,0.223411,0.381404,0.467675,0.191011,0.328626,0.366021,428457
ENSGALG00000039151,0.226448,1.05384,2.7143,0.450536,3.51955,1.85663,0.417323,1.88804,1.07749,414796
ENSGALG00000039155,16.6117,5.62894,6.30491,87.38649,25.59573,22.69895,29.78889,13.2791,14.8979,419176
ENSGALG00000039161,1.77908,2.6222,4.47291,2.80372,7.48068,5.95211,1.53516,1.09078,0.957196,423687
ENSGALG00000039163,33.83144,16.61574,17.82584,28.84905,11.39604,14.03191,29.78546,13.66195,17.30405,425979
ENSGALG00000039164,9.53467,6.59057,7.398426,9.434059,14.8536,15.23802,11.86776,13.03387,14.79859,415336
ENSGALG00000039166,0,0,0,0,0,0,0,0,0,768801
ENSGALG00000039168,3.89431,3.48699,4.34218,13.662,18.9591,22.1726,9.04422,12.9715,12.2541,770088
ENSGALG00000039169,4.04532,5.01851,7.33627,5.35162,10.2807,6.77589,7.76987,13.0104,10.6783,420729
ENSGALG00000039170,1.98293,0.535763,6.01096,4.05334,1.824257,2.663693,1.174049,0.817178,1.126873,378916
ENSGALG00000039171,1.788072,0.302577,4.73647,1.15572,0.67291,0.368314,0.662431,0.135738,0.360321,418152
ENSGALG00000039173,37.6035,12.86287,13.7716,17.35331,5.60172,6.26101,2.46037,1.59449,1.39922,395214
ENSGALG00000039178,5.30204,6.43245,10.522,3.74645,10.9166,10.1978,6.0926,8.67967,11.6018,415722
ENSGALG00000039182,6.729156,10.89315,15.48751,12.0449,29.68659,18.33607,8.845131,12.36031,12.32943,426284
ENSGALG00000039186,9.315479,13.3062,26.68293,14.87332,24.15757,28.95467,9.201721,11.96522,15.89931,420480
ENSGALG00000039187,2.97202,0.364685,0.546234,0.0320363,0,0,0,0,0,419515
ENSGALG00000039190,96.2595,7.808,7.43284,179.11,6.41729,9.79234,79.5408,2.38185,2.39496,107053360
ENSGALG00000039193,30.04436,18.82955,13.29929,32.15208,31.02402,30.3206,24.35078,28.49359,35.06654,396538
ENSGALG00000039196,25.1598,6.144865,9.21743,72.33902,36.13268,22.84283,31.9393,18.1633,17.59875,100857875
ENSGALG00000039200,4.38282,4.54408,4.23667,6.67785,10.5439,6.7537,11.1909,11.7366,8.54771,395152
ENSGALG00000039203,33.1092,27.327,34.7363,51.2244,36.6202,35.3207,35.2779,19.1077,23.2878,429657
ENSGALG00000039206,16.08825,4.622276,4.283847,16.81045,5.484273,9.591166,7.088158,5.920037,4.65195,101749459
ENSGALG00000039208,5.592332,8.31219,5.8708,3.937301,10.35308,8.57012,3.876596,5.16945,4.61702,415981
ENSGALG00000039209,0.266732,0.0603512,2.1936,0.19287,0.0661358,0.264911,0,0.0306838,0,417831
ENSGALG00000039212,569.198,303.878,280.583,715.913,186.746,193.417,536.569,154.287,153.056,100859320
